event,column,row,timebin,adc,tdc,hit
0,0,13,2,150,0,0
0,0,13,3,150,0,0
0,0,13,4,150,0,0
0,0,13,5,150,0,0
0,0,13,6,150,0,0
0,0,13,7,151,0,0
0,0,14,0,142,0,0
0,0,14,1,143,0,0
0,0,14,2,143,0,0
0,0,14,3,143,0,0
0,0,14,4,143,0,0
0,0,14,5,143,0,0
0,0,14,6,143,0,0
0,0,14,7,143,0,0
0,0,15,0,154,0,0
0,0,15,1,154,0,0
0,0,15,2,153,0,0
0,0,15,3,154,0,0
0,0,15,4,154,0,0
0,0,15,5,155,0,0
0,0,15,6,155,0,0
0,0,15,7,155,0,0
0,0,16,0,158,0,0
0,0,16,1,159,0,0
0,0,16,2,160,0,0
0,0,16,3,159,0,0
0,0,16,4,160,0,0
0,0,16,5,160,0,0
0,0,16,6,160,0,0
0,0,16,7,160,0,0
0,0,17,0,164,0,0
0,0,17,1,165,0,0
0,0,17,2,165,0,0
0,0,17,3,166,0,0
0,0,17,4,166,0,0
0,0,17,5,166,0,0
0,0,17,6,166,0,0
0,0,17,7,165,0,0
0,0,18,0,172,0,0
0,0,18,1,173,0,0
0,0,18,2,173,0,0
0,0,18,3,174,0,0
0,0,18,4,174,0,0
0,0,18,5,174,0,0
0,0,18,6,175,0,0
0,0,18,7,175,0,0
0,0,19,0,160,0,0
0,0,19,1,160,0,0
0,0,19,2,160,0,0
0,0,19,3,160,0,0
0,0,19,4,161,0,0
0,0,19,5,160,0,0
0,0,19,6,161,0,0
0,0,19,7,161,0,0
0,0,20,0,164,0,0
0,0,20,1,164,0,0
0,0,20,2,164,0,0
0,0,20,3,165,0,0
0,0,20,4,165,0,0
0,0,20,5,165,0,0
0,0,20,6,165,0,0
0,0,20,7,165,0,0
0,0,21,0,159,0,0
0,0,21,1,159,0,0
0,0,21,2,159,0,0
0,0,21,3,160,0,0
0,0,21,4,159,0,0
0,0,21,5,160,0,0
0,0,21,6,160,0,0
0,0,21,7,160,0,0
0,0,22,0,158,0,0
0,0,22,1,158,0,0
0,0,22,2,159,0,0
0,0,22,3,159,0,0
0,0,22,4,159,0,0
0,0,22,5,158,0,0
0,0,22,6,159,0,0
0,0,22,7,158,0,0
0,0,23,0,149,0,0
0,0,23,1,149,0,0
0,0,23,2,149,0,0
0,0,23,3,149,0,0
0,0,23,4,149,0,0
0,0,23,5,149,0,0
0,0,23,6,149,0,0
0,0,23,7,149,0,0
0,0,24,0,159,0,0
0,0,24,1,159,0,0
0,0,24,2,159,0,0
0,0,24,3,160,0,0
0,0,24,4,160,0,0
0,0,24,5,160,0,0
0,0,24,6,160,0,0
0,0,24,7,159,0,0
0,0,25,0,155,0,0
0,0,25,1,156,0,0
0,0,25,2,156,0,0
0,0,25,3,157,0,0
0,0,25,4,157,0,0
0,0,25,5,156,0,0
0,0,25,6,156,0,0
0,0,25,7,155,0,0
0,0,26,0,150,0,0
0,0,26,1,150,0,0
0,0,26,2,150,0,0
0,0,26,3,150,0,0
0,0,26,4,150,0,0
0,0,26,5,150,0,0
0,0,26,6,150,0,0
0,0,26,7,150,0,0
0,0,27,0,185,0,0
0,0,27,1,185,0,0
0,0,27,2,186,0,0
0,0,27,3,185,0,0
0,0,27,4,185,0,0
0,0,27,5,184,0,0
0,0,27,6,184,0,0
0,0,27,7,184,0,0
0,0,28,0,153,0,0
0,0,28,1,152,0,0
0,0,28,2,152,0,0
0,0,28,3,153,0,0
0,0,28,4,153,0,0
0,0,28,5,153,0,0
0,0,28,6,154,0,0
0,0,28,7,153,0,0
0,0,29,0,164,0,0
0,0,29,1,164,0,0
0,0,29,2,164,0,0
0,0,29,3,165,0,0
0,0,29,4,165,0,0
0,0,29,5,165,0,0
0,0,29,6,166,0,0
0,0,29,7,165,0,0
0,0,30,0,168,0,0
0,0,30,1,168,0,0
0,0,30,2,168,0,0
0,0,30,3,169,0,0
0,0,30,4,169,0,0
0,0,30,5,169,0,0
0,0,30,6,169,0,0
0,0,30,7,168,0,0
0,0,31,0,124,0,0
0,0,31,1,124,0,0
0,0,31,2,124,0,0
0,0,31,3,125,0,0
0,0,31,4,125,0,0
0,0,31,5,125,0,0
0,0,31,6,123,0,0
0,0,31,7,124,0,0
